"cod6","ano","agente","casos","populacao","fonte_populacao","populacao_unica","incid_100k","incid_100k_pop2024","incid_eb_100k","incid_pad_100k"
"330045",2025,"vsr",55,518384,"Estimativa da população residente, 1º de julho de 2025",518263,10.609895367141,10.612372482697,10.895671979077,9.38289844087755
"330050",2022,"influenza",0,28102,"Censo 2022, população residente (data de referência 01/08/2022)",29736,0,0,0.837748927020233,0
"330050",2023,"influenza",1,28882,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",29736,3.46236410220899,3.36292709174065,3.77052331486116,3.37192252460427
"330050",2024,"influenza",5,29736,"Estimativa da população residente, 1º de julho de 2024",29736,16.8146354587033,16.8146354587033,13.4078488689008,16.9326585487897
"330050",2025,"influenza",8,29758,"Estimativa da população residente, 1º de julho de 2025",29736,26.883527118758,26.9034167339252,24.009837993339,26.4722176773916
"330050",2022,"sarscov2",25,28102,"Censo 2022, população residente (data de referência 01/08/2022)",29736,88.9616397409437,84.0731772935163,90.2916357918466,91.9121436788199
"330050",2023,"sarscov2",8,28882,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",29736,27.6989128176719,26.9034167339252,27.1859848727349,27.8337902413424
"330050",2024,"sarscov2",7,29736,"Estimativa da população residente, 1º de julho de 2024",29736,23.5404896421846,23.5404896421846,20.1291284740477,23.399603844491
"330050",2025,"sarscov2",0,29758,"Estimativa da população residente, 1º de julho de 2025",29736,0,0,3.99305939512094,0
"330050",2022,"vsr",0,28102,"Censo 2022, população residente (data de referência 01/08/2022)",29736,0,0,3.65501271010603,0
"330050",2023,"vsr",2,28882,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",29736,6.92472820441798,6.7258541834813,6.44430944476953,6.68889569204953
"330050",2024,"vsr",0,29736,"Estimativa da população residente, 1º de julho de 2024",29736,0,0,6.41800541280261,0
"330050",2025,"vsr",0,29758,"Estimativa da população residente, 1º de julho de 2025",29736,0,0,6.79495668586402,0
"330060",2022,"influenza",0,35173,"Censo 2022, população residente (data de referência 01/08/2022)",37172,0,0,0.720033805419459,0
"330060",2023,"influenza",0,36127,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",37172,0,0,1.93098659377551,0
"330060",2024,"influenza",0,37172,"Estimativa da população residente, 1º de julho de 2024",37172,0,0,4.47786315468844,0
"330060",2025,"influenza",20,37176,"Estimativa da população residente, 1º de julho de 2025",37172,53.7981493436626,53.8039384482944,45.3711383074779,49.8031866652954
"330060",2022,"sarscov2",12,35173,"Censo 2022, população residente (data de referência 01/08/2022)",37172,34.1170784408495,32.2823630689767,39.2113857019953,29.2234431595224
"330060",2023,"sarscov2",0,36127,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",37172,0,0,3.19139974334237,0
"330060",2024,"sarscov2",0,37172,"Estimativa da população residente, 1º de julho de 2024",37172,0,0,3.74921969242319,0
"330060",2025,"sarscov2",3,37176,"Estimativa da população residente, 1º de julho de 2025",37172,8.06972240154939,8.07059076724416,7.0592450088533,6.68464586702749
"330060",2022,"vsr",0,35173,"Censo 2022, população residente (data de referência 01/08/2022)",37172,0,0,3.24800380238389,0
"330060",2023,"vsr",0,36127,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",37172,0,0,1.65876902811935,0
"330060",2024,"vsr",0,37172,"Estimativa da população residente, 1º de julho de 2024",37172,0,0,5.75918340995835,0
"330060",2025,"vsr",0,37176,"Estimativa da população residente, 1º de julho de 2025",37172,0,0,5.79405591611324,0
"330070",2022,"influenza",2,222161,"Censo 2022, população residente (data de referência 01/08/2022)",238166,0.90024801832905,0.839750426173341,0.995463298448245,0.83992228073193
"330070",2023,"influenza",16,229798,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",238166,6.96263675053743,6.71800340938673,6.59475469962327,6.73646523791432
"330070",2024,"influenza",34,238166,"Estimativa da população residente, 1º de julho de 2024",238166,14.2757572449468,14.2757572449468,13.800920358594,14.5975187715773
"330070",2025,"influenza",23,238438,"Estimativa da população residente, 1º de julho de 2025",238166,9.64611345507008,9.65712990099343,9.91764880962711,9.76475456680973
"330070",2022,"sarscov2",248,222161,"Censo 2022, população residente (data de referência 01/08/2022)",238166,111.630754272802,104.129052845494,111.533548988239,119.006655159866
"330070",2023,"sarscov2",56,229798,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",238166,24.369228626881,23.5130119328536,24.3711817338476,26.5983207084919
"330070",2024,"sarscov2",28,238166,"Estimativa da população residente, 1º de julho de 2024",238166,11.7565059664268,11.7565059664268,11.8421174305554,12.7554094498695
"330070",2025,"sarscov2",19,238438,"Estimativa da população residente, 1º de julho de 2025",238166,7.96852850636224,7.97762904864674,7.67851096563882,8.06534587531671
"330070",2022,"vsr",14,222161,"Censo 2022, população residente (data de referência 01/08/2022)",238166,6.30173612830335,5.87825298321339,6.41249042531976,5.63215468214661
"330070",2023,"vsr",5,229798,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",238166,2.17582398454295,2.09937606543335,2.38768455524606,2.09130742307097
"330070",2024,"vsr",25,238166,"Estimativa da população residente, 1º de julho de 2024",238166,10.4968803271668,10.4968803271668,10.6687575107796,9.66806289282608
