"agente","ano","faixa","casos","populacao_faixa","taxa_100k","proporcao"
"sarscov2",2024,"60-69",291,1800065.67943219,16.1660767895865,0.12774363476734
"sarscov2",2024,"70-79",401,979880.931706743,40.9233394614123,0.17603160667252
"sarscov2",2024,"80+",712,466053.896858633,152.772030187738,0.312554872695347
"sarscov2",2025,"<1",204,165663.487430801,123.141196146322,0.18732782369146
"sarscov2",2025,"1-4",93,773341.060524006,12.0257419070681,0.0853994490358127
"sarscov2",2025,"5-9",55,1089278.50465178,5.0492137470006,0.0505050505050505
"sarscov2",2025,"10-19",24,2119784.18686264,1.13219072718534,0.0220385674931129
"sarscov2",2025,"20-29",38,2478265.14015789,1.53333069106476,0.0348943985307622
"sarscov2",2025,"30-39",40,2550503.71975529,1.56831764996751,0.0367309458218549
"sarscov2",2025,"40-49",59,2576442.40100616,2.28997939084372,0.054178145087236
"sarscov2",2025,"50-59",76,2223578.90608548,3.41791333745808,0.0697887970615243
"sarscov2",2025,"60-69",116,1800458.78919025,6.44280228442053,0.106519742883379
"sarscov2",2025,"70-79",161,980085.512267038,16.4271380389646,0.147842056932966
"sarscov2",2025,"80+",223,466145.292068675,47.8391616936349,0.204775022956841
"influenza",2022,"<1",52,154521,33.6523838183807,0.135416666666667
"influenza",2022,"1-4",66,721248,9.15080527086384,0.171875
"influenza",2022,"5-9",40,1015741,3.9380117569341,0.104166666666667
"influenza",2022,"10-19",27,1976614,1.36597231427077,0.0703125
"influenza",2022,"20-29",15,2309937,0.649368359396815,0.0390625
"influenza",2022,"30-39",19,2376896,0.799361856808207,0.0494791666666667
"influenza",2022,"40-49",23,2401463,0.957749505197457,0.0598958333333333
"influenza",2022,"50-59",19,2073125,0.916490804944227,0.0494791666666667
"influenza",2022,"60-69",41,1678255,2.44301372556614,0.106770833333333
"influenza",2022,"70-79",43,913288,4.70826289188077,0.111979166666667
"influenza",2022,"80+",39,434086,8.9843947973443,0.1015625
"influenza",2023,"<1",117,159818.447256562,73.2080695366636,0.174366616989568
"influenza",2023,"1-4",129,746016.142722607,17.291851022045,0.192250372578241
"influenza",2023,"5-9",85,1050706.08617346,8.08979800522139,0.126676602086438
"influenza",2023,"10-19",51,2044687.34429526,2.49426887403062,0.0760059612518629
"influenza",2023,"20-29",19,2389994.32479614,0.79498096722973,0.0283159463487332
"influenza",2023,"30-39",28,2459458.17242146,1.1384621342201,0.0417287630402385
"influenza",2023,"40-49",25,2484674.04828756,1.00616819406272,0.03725782414307
"influenza",2023,"50-59",48,2144679.18051597,2.23809698140735,0.0715350223546945
"influenza",2023,"60-69",46,1736376.40595201,2.64919517693973,0.0685543964232489
"influenza",2023,"70-79",49,945062.512375682,5.18484220444049,0.0730253353204173
"influenza",2023,"80+",74,449339.335203289,16.4686227540086,0.110283159463487
"influenza",2024,"<1",251,165623.36555334,151.548665347682,0.145338737695426
"influenza",2024,"1-4",274,773156.981753096,35.4391160484276,0.15865662999421
"influenza",2024,"5-9",202,1089020.74580684,18.5487742798087,0.11696583671106
"influenza",2024,"10-19",144,2119281.90104396,6.79475438963856,0.0833815865662999
"influenza",2024,"20-29",51,2477721.03430607,2.05834310214359,0.0295309785755646
"influenza",2024,"30-39",58,2549929.73137314,2.27457248277845,0.0335842501447597
"influenza",2024,"40-49",68,2575856.63228935,2.63989847678609,0.0393746381007527
"influenza",2024,"50-59",75,2223088.09987663,3.37368546051603,0.0434279096699479
"influenza",2024,"60-69",137,1800065.67943219,7.61083340265755,0.0793283149971048
"influenza",2024,"70-79",171,979880.931706743,17.4510998700786,0.0990156340474812
"influenza",2024,"80+",296,466053.896858633,63.5119676061382,0.171395483497394
"influenza",2025,"<1",375,165663.487430801,226.362492916033,0.136165577342048
"influenza",2025,"1-4",459,773341.060524006,59.3528552187553,0.166666666666667
"influenza",2025,"5-9",257,1089278.50465178,23.5935987814391,0.0933188090050835
"influenza",2025,"10-19",142,2119784.18686264,6.69879513584661,0.0515613652868555
"influenza",2025,"20-29",70,2478265.14015789,2.82455653617193,0.0254175744371823
"influenza",2025,"30-39",82,2550503.71975529,3.21505118243339,0.0297748729121278
"influenza",2025,"40-49",96,2576442.40100616,3.72606816137282,0.0348583877995643
"influenza",2025,"50-59",144,2223578.90608548,6.47604632360478,0.0522875816993464
"influenza",2025,"60-69",255,1800458.78919025,14.1630567459245,0.0925925925925926
"influenza",2025,"70-79",356,980085.512267038,36.3233611296361,0.129266521423384
"influenza",2025,"80+",518,466145.292068675,111.12415137804,0.188090050835149
"vsr",2022,"<1",869,154521,562.383106503323,0.743370402053037
"vsr",2022,"1-4",236,721248,32.7210612715737,0.201881950384944
"vsr",2022,"5-9",13,1015741,1.27985382100358,0.0111206159110351
"vsr",2022,"10-19",3,1976614,0.151774701585641,0.00256629597946963
"vsr",2022,"20-29",3,2309937,0.129873671879363,0.00256629597946963
"vsr",2022,"30-39",4,2376896,0.168286706696465,0.00342172797262618
"vsr",2022,"40-49",2,2401463,0.0832825656693441,0.00171086398631309
"vsr",2022,"50-59",0,2073125,0,0
"vsr",2022,"60-69",12,1678255,0.715028407482772,0.0102651839178785
"vsr",2022,"70-79",10,913288,1.09494485857692,0.00855431993156544
"vsr",2022,"80+",17,434086,3.91627465525265,0.0145423438836612
"vsr",2023,"<1",681,159818.447256562,426.108507303145,0.739413680781759
"vsr",2023,"1-4",185,746016.142722607,24.7983910006072,0.200868621064061
"vsr",2023,"5-9",17,1050706.08617346,1.61795960104428,0.0184581976112921
"vsr",2023,"10-19",7,2044687.34429526,0.342350629768909,0.00760043431053203
"vsr",2023,"20-29",1,2389994.32479614,0.0418411035384068,0.001085776330076
"vsr",2023,"30-39",2,2459458.17242146,0.0813187238728642,0.00217155266015201
